title,rating,nigth_cost,date,details
"Angra dos Reis, Brazil",4.98,"$4,510 ",May 22 – 28,"2,000 square meters"
"Sanma Province, Vanuatu",4.96,"$4,916 ",May 27 – Jun 1,1.3 hectares
"Gildeskål, Norway",4.96,$189,Jun 23 – 28,36 hectares
"Matak, Indonesia",4.94,$169,May 20 – 25,7 hectares
"Vis, Croatia",4.82,"$1,343 ",Jun 2 – 9,4.4 hectares
"Swansboro, North Carolina, US",4.94,$573,Jul 14 – 19,6.5 hectares
"Uusikaupunki, Finland",5,$308,May 23 – 28,"8,000 square meters"
"Malören, Sweden",5,$162,May 20 – 25,"6,559 kilometers away"
"Gildeskål, Norway",5,$189,Jun 18 – 23,35 hectares
"Provincia de Cartagena, Colombia",4.98,"$1,391 ",Jul 1 – 6,"2,000 square meters"
"Angra Dos Reis, Brazil",4.82,"$5,572 ",May 20 – 25,"2,000 square meters"
"Presque Isle, Wisconsin, US",4.94,$951,May 19 – 26,1.6 hectares
"Lancashire, UK",4.85,"$1,710 ",May 21 – 26,"8,091 kilometers away"
"Dangriga, Belize",4.67,$558,Jul 6 – 11,1.4 hectares
"Murter, Croatia",4.62,$271,May 21 – 28,1 hectare
"Cochamó, Chile",4.67,$188,May 20 – 25,3.9 hectares
"St. James City, Florida, US",4.68,"$2,037 ",Nov 1 – 8,1.6 hectares
"St. James City, Florida, US",4.75,"$2,037 ",Nov 1 – 8,1.6 hectares
"Providenciales, Turks & Caicos Islands",4.49,"$47,143 ",May 19 – 26,1.5 hectares
"Vis, Croatia",4.86,"$1,356 ",Jun 1 – 7,4.4 hectares
"Islamorada, Florida, US",5,"$4,953 ",May 30 – Jun 6,"14,525 kilometers away"
"Sioux Narrows-Nestor Falls, Canada",4.68,$336,May 25 – 30,3.5 hectares
"Nordland, Norway",4.65,$298,Jun 29 – Jul 4,1.7 hectares
"Cartagena, Colombia",3.75,"$4,200 ",May 19 – 24,"4,000 square meters"
"Vela Luka, Croatia",4.6,$222,May 20 – 27,1 hectare
"Arraiján, Panama",4.67,$65,May 26 – 31,1.2 hectares
"Greig, New York, US",4.75,$167,May 19 – 24,"6,000 square meters"
"Teva I Uta, French Polynesia",4.5,"$1,107 ",May 19 – 24,"13,803 kilometers away"
"Otok Prišnjak, Croatia",4.75,"$2,712 ",May 21 – 27,5.5 hectares
"Parry Sound, Canada",4.6,$351,May 22 – 27,"2,000 square meters"
"New Franklin, Ohio, US",5,$260,May 21 – 26,"2,000 square meters"
"Paraty, Brazil",4.74,"$2,851 ",May 21 – 26,3.2 hectares
"Ekerö Ö, Sweden",4.29,$762,May 21 – 26,"9,000 square meters"
"Unorganized Centre Parry Sound District, Canada",4.22,"$2,081 ",Nov 28 – Dec 3,15 hectares
"Malören, Sweden",4.13,$162,May 20 – 25,"6,559 kilometers away"
"Hinesburg, Vermont, US",4.8,$468,May 22 – 27,"3,000 square meters"
"Mallorytown, Canada",4.82,$278,May 20 – 25,0 square meters
"Eckerö, Åland Islands",4.86,$281,Jun 12 – 18,"3,000 square meters"
"Las Isletas de Granada, Nicaragua",4.92,$144,May 20 – 27,"8,000 square meters"
"Illa de Tagomago, Spain",4.69,"$25,182 ",May 20 – 25,"8,275 kilometers away"
"Lancashire, UK",4.89,$415,May 19 – 24,"8,091 kilometers away"
"Branford, Connecticut, US",4.63,"$2,434 ",Apr 2 – 7,"12,585 kilometers away"
"Battle Creek, Michigan, US",4.89,"$6,276 ",May 26 – 31,"8,000 square meters"
"Rangiroa, French Polynesia",4.86,"$4,807 ",May 20 – 25,146 hectares
"Placencia, Belize",4.71,"$6,394 ",Aug 19 – 24,1 hectare
"Dunmore Town, Bahamas",4.71,"$12,459 ",May 19 – 24,"8,000 square meters"
"Muskoka Lakes, Canada",4.67,$833,May 26 – Jun 2,"6,000 square meters"
"Coles Bay, Australia",4.65,"$1,857 ",May 22 – 27,1.5 hectares
"Mértola, Portugal",4.77,$74,May 22 – 28,2 hectares
"Saint George, Maine, US",4.79,"$2,781 ",Aug 5 – 12,45 hectares
"Placencia, Belize",4.8,"$1,799 ",Jun 24 – 29,"8,000 square meters"
